date,V,MA
2017-01-10,81.30999755859375,102.52238464355467
2017-01-11,81.80000305175781,102.990478515625
2017-01-12,81.37000274658203,103.85027313232422
2017-01-13,81.16999816894531,103.84071350097656
2017-01-17,81.26000213623047,103.55413055419922
2017-01-18,81.58999633789062,103.80249786376952
2017-01-19,81.7300033569336,103.67829895019533
2017-01-20,81.83999633789062,105.04439544677734
2017-01-23,82.1500015258789,104.72911834716795
2017-01-24,83.2300033569336,105.00617980957033
2017-01-25,83.9000015258789,105.26409149169922
2017-01-26,83.23999786376953,104.49031829833984
2017-01-27,83.7699966430664,104.92974090576172
2017-01-30,83.69999694824219,104.41390228271484
2017-01-31,82.70999908447266,101.57665252685548
2017-02-01,82.44000244140625,100.30612182617188
2017-02-02,82.30000305175781,100.43987274169922
2017-02-03,86.08000183105469,101.81548309326172
2017-02-06,85.83000183105469,101.82505798339844
2017-02-07,85.77999877929688,101.83460998535156
2017-02-08,85.08999633789062,101.94923400878906
2017-02-09,85.58000183105469,102.50328826904295
2017-02-10,85.9000015258789,102.4746322631836
2017-02-13,86.44000244140625,103.43952941894533
2017-02-14,86.8499984741211,104.0126724243164
2017-02-15,87.54000091552734,104.75778198242188
2017-02-16,87.41000366210938,104.41390228271484
2017-02-17,87.45999908447266,104.52851104736328
2017-02-21,87.91999816894531,105.23545837402344
2017-02-22,87.80000305175781,104.5476303100586
2017-02-23,88.18000030517578,105.78952026367188
2017-02-24,88.43000030517578,106.03789520263672
2017-02-27,88.0,105.62712097167967
2017-02-28,87.94000244140625,105.52204132080078
2017-03-01,88.98999786376953,107.28933715820312
2017-03-02,88.52999877929688,106.35314178466795
2017-03-03,88.79000091552734,106.74481201171876
2017-03-06,88.94000244140625,106.38180541992188
2017-03-07,89.05999755859375,105.99969482421876
2017-03-08,88.95999908447266,106.01881408691406
2017-03-09,89.11000061035156,105.8372802734375
2017-03-10,89.7300033569336,106.2385025024414
2017-03-13,90.11000061035156,106.54419708251952
2017-03-14,89.55000305175781,105.55070495605467
2017-03-15,89.91999816894531,107.01227569580078
2017-03-16,90.04000091552734,107.63322448730467
2017-03-17,90.23999786376952,107.78609466552734
2017-03-20,89.18000030517578,107.38484954833984
2017-03-21,88.05999755859375,105.76085662841795
2017-03-22,88.5199966430664,106.4677505493164
2017-03-23,88.86000061035156,106.61109161376952
2017-03-24,89.19000244140625,106.97409057617188
2017-03-27,88.94999694824219,106.93586730957033
2017-03-28,89.12000274658203,107.4421844482422
2017-03-29,89.18000030517578,107.0505142211914
2017-03-30,89.01000213623047,107.63322448730467
2017-03-31,88.87000274658203,107.4421844482422
2017-04-03,89.36000061035156,107.22246551513672
2017-04-04,88.77999877929688,107.07915496826172
2017-04-05,89.02999877929688,107.2706298828125
2017-04-06,89.08999633789062,107.6151885986328
2017-04-07,88.73999786376953,107.43333435058594
2017-04-10,88.86000061035156,107.50989532470705
2017-04-11,88.8499984741211,107.30890655517578
2017-04-12,88.68000030517578,106.69629669189452
2017-04-13,88.87000274658203,106.45702362060548
2017-04-17,89.80999755859375,107.84488677978516
2017-04-18,89.7300033569336,107.70133972167967
2017-04-19,89.75,107.4811782836914
2017-04-20,91.1500015258789,109.68269348144533
2017-04-21,91.1500015258789,109.37637329101562
2017-04-24,91.8499984741211,110.7451629638672
2017-04-25,92.11000061035156,111.15672302246094
2017-04-26,91.81999969482422,111.19500732421876
2017-04-27,91.5999984741211,112.08521270751952
2017-04-28,91.22000122070312,111.33860778808594
2017-05-01,91.26000213623048,111.38645935058594
2017-05-02,92.54000091552734,113.0615234375
2017-05-03,92.44000244140624,112.30535125732422
2017-05-04,92.62000274658205,112.87008666992188
2017-05-05,92.08999633789062,112.46807861328124
2017-05-08,91.91999816894533,111.61618041992188
2017-05-09,92.0,111.42475128173828
2017-05-10,92.25,111.65445709228516
2017-05-11,92.0999984741211,111.53961181640624
2017-05-12,92.7300033569336,112.1138916015625
2017-05-15,93.2300033569336,113.14765167236328
2017-05-16,93.1500015258789,113.41566467285156
2017-05-17,91.76000213623048,111.7980499267578
2017-05-18,91.70999908447266,111.26203155517578
2017-05-19,92.4800033569336,112.5446319580078
2017-05-22,93.30999755859376,113.9038314819336
2017-05-23,93.86000061035156,114.47814178466795
2017-05-24,94.80999755859376,115.53101348876952
2017-05-25,95.04000091552734,116.69876861572266
2017-05-26,94.66999816894533,116.42121124267578
2017-05-30,94.72000122070312,116.44035339355467
2017-05-31,95.2300033569336,117.61766815185548
2017-06-01,95.4000015258789,118.11540222167967
2017-06-02,96.1500015258789,119.83832550048828
2017-06-05,96.5500030517578,120.50833892822266
2017-06-06,95.79000091552734,119.87660217285156
2017-06-07,96.08999633789062,119.8287353515625
2017-06-08,96.08999633789062,119.41717529296876
2017-06-09,94.55999755859376,117.77082824707033
2017-06-12,93.5,115.58848571777344
2017-06-13,95.08000183105467,117.08165740966795
2017-06-14,95.31999969482422,117.2539520263672
2017-06-15,94.16999816894533,116.22018432617188
2017-06-16,94.16999816894533,116.737060546875
2017-06-19,94.79000091552734,117.81867218017578
2017-06-20,94.37999725341795,117.66553497314452
2017-06-21,94.54000091552734,117.82825469970705
2017-06-22,93.9499969482422,118.01966857910156
2017-06-23,95.58000183105467,118.69927215576172
2017-06-26,95.22000122070312,118.23026275634766
2017-06-27,94.9000015258789,117.48365020751952
2017-06-28,96.2300033569336,119.46501159667967
2017-06-29,94.41999816894533,116.30634307861328
2017-06-30,93.77999877929688,116.2489013671875
2017-07-03,93.3499984741211,115.60761260986328
2017-07-05,94.01000213623048,116.9692840576172
2017-07-06,93.25,115.8377456665039
2017-07-07,93.91999816894533,117.1802215576172
2017-07-10,95.08999633789062,117.6884765625
2017-07-11,95.41000366210938,119.1268539428711
2017-07-12,96.18000030517578,120.13370513916016
2017-07-13,95.94000244140624,120.3158950805664
2017-07-14,96.93000030517578,121.79266357421876
2017-07-17,96.83000183105467,122.1954116821289
2017-07-18,97.58000183105467,122.48308563232422
2017-07-19,98.25,122.78034210205078
2017-07-20,98.11000061035156,123.19268798828124
2017-07-21,99.5999984741211,123.95980834960938
2017-07-24,100.37000274658205,124.19953918457033
2017-07-25,99.98999786376952,124.6406707763672
2017-07-26,100.8499984741211,125.60918426513672
2017-07-27,99.56999969482422,123.63380432128906
2017-07-28,99.1500015258789,122.65567779541016
2017-07-31,99.55999755859376,122.55020141601562
2017-08-01,100.87000274658205,124.17078399658205
2017-08-02,101.27999877929688,125.24476623535156
2017-08-03,100.58999633789062,124.55437469482422
2017-08-04,100.88999938964844,124.48722839355467
2017-08-07,101.48999786376952,125.02423095703124
2017-08-08,101.27999877929688,124.50638580322266
2017-08-09,100.97000122070312,124.3913345336914
2017-08-10,99.48999786376952,122.42552947998048
2017-08-11,100.08999633789062,123.26939392089844
2017-08-14,101.87000274658205,125.70503997802734
2017-08-15,102.62999725341795,126.17493438720705
2017-08-16,103.31999969482422,126.9324722290039
2017-08-17,102.16000366210938,125.50367736816406
2017-08-18,102.51000213623048,125.75296783447266
2017-08-21,103.22000122070312,126.52010345458984
